Test for Catan

Population: 1000
   (6, 0.04252s)
   (5, 0.051101s)
   (4, 0.05978s)
   (3, 0.085811s)
   (2, 0.094405s)
   (0, 0.111824s)

Map 22: 
   (13, 0s)
   (11, 0.016914s)
   (10, 0.025245s)
   (7, 0.033864s)
   (6, 0.042522s)
   (5, 0.051134s)
   (4, 0.059802s)
   (3, 0.077181s)
   (2, 0.085965s)
   (0, 0.112421s)

Map 23: 
   (13, 0s)
   (11, 0.016991s)
   (9, 0.025436s)
   (8, 0.042534s)
   (5, 0.051217s)
   (3, 0.059843s)
   (2, 0.094621s)
   (0, 0.15569s)

Map 24: 
   (13, 0s)
   (11, 0.016779s)
   (9, 0.025054s)
   (6, 0.033578s)
   (5, 0.050837s)
   (3, 0.05941s)
   (2, 0.067975s)
   (0, 0.076552s)

Map 25: 
   (13, 0s)
   (12, 0.016848s)
   (10, 0.025042s)
   (9, 0.033768s)
   (8, 0.042265s)
   (5, 0.050815s)
   (3, 0.068184s)
   (2, 0.085587s)
   (0, 0.120658s)

Map 26: 
   (13, 0s)
   (11, 0.016959s)
   (9, 0.025178s)
   (7, 0.033753s)
   (6, 0.042393s)
   (4, 0.050951s)
   (3, 0.068298s)
   (2, 0.076878s)
   (0,  0.173036s)

Map 27: 
   (13, 0s)
   (11, 0.016991s)
   (9, 0.025349s)
   (7, 0.033835s)
   (5, 0.053949s)
   (4, 0.079429s)
   (0, 0.092074s)

Map 28: 
   (13, 0s)
   (12, 0.020801s)
   (9, 0.033748s)
   (8, 0.047274s)
   (5, 0.060056s)
   (2, 0.098106s)
   (0, 0.124439s)

Map 29: 
   (13, 0s)
   (11, 0.021924s)
   (9, 0.035055s)
   (8, 0.047706s)
   (7, 0.060665s)
   (5, 0.074529s)
   (4, 0.088406s)
   (3, 0.115846s)
   (2, 0.154745s)
   (0, 0.329766s)

Map 30: 
   (13, 0s)
   (11, 0.023162s)
   (9, 0.035781s)
   (8, 0.048685s)
   (5, 0.061509s)
   (3, 0.08882s)
   (2, 0.129777s)
   (0, 0.168072s)

Best map: 

       [8;W]  [11;L]  [11;B] 
    [9;G]  [10;B]  [12;O]  [10;G] 
 [7;D]  [2;O]  [6;W]  [9;L]  [8;W] 
    [5;L]  [5;B]  [4;G]  [4;O] 
       [3;G]  [6;L]  [3;W] 

Pointuation: 0
Tempo medio: 0.143098
